Category,Feature,Count (1s),Percentage (%)
country,country_United_States,3915,62.0444
country,country_France,1451,22.9952
country,country_United_Kingdom,861,13.645
country,country_Germany,533,8.4469
country,country_other_or_unknown,505,8.0032
country,country_Italy,474,7.5119
country,country_Belgium,295,4.6751
country,country_Canada,206,3.2647
country,country_Spain,135,2.1395
country,country_Australia,74,1.1727
country,country_Sweden,71,1.1252
country,country_Switzerland,67,1.0618
country,country_Austria,65,1.0301
country,country_Ireland,60,0.9509
country,country_Mexico,59,0.935
country,country_Denmark,57,0.9033
country,country_Netherlands,48,0.7607
country,country_Luxembourg,45,0.7132
country,country_People's_Republic_of_China,44,0.6973
country,country_Japan,44,0.6973
country,country_Finland,38,0.6022
genre,genre_drama_film,2299,36.4342
genre,genre_other_or_unknown,1741,27.5911
genre,genre_comedy_film,1325,20.9984
genre,genre_thriller_film,916,14.5166
genre,genre_action_film,837,13.2647
genre,genre_documentary_film,759,12.0285
genre,genre_horror_film,574,9.0967
genre,genre_science_fiction_film,478,7.5753
genre,genre_adventure_film,438,6.9414
genre,genre_biographical_film,390,6.1807
genre,genre_crime_film,385,6.1014
genre,genre_comedy_drama,366,5.8003
genre,genre_fantasy_film,348,5.5151
genre,genre_romance_film,345,5.4675
genre,genre_mystery_film,213,3.3756
genre,genre_LGBTQ_related_film,205,3.2488
genre,genre_pornographic_film,158,2.504
genre,genre_musical_film,158,2.504
genre,genre_historical_film,154,2.4406
genre,genre_family_film,143,2.2662
genre,genre_war_film,124,1.9651
genre,genre_romantic_comedy_film,118,1.87
genre,genre_superhero_film,116,1.8384
genre,genre_romantic_comedy,101,1.6006
genre,genre_teen_film,95,1.5055
genre,genre_speculative_fiction_film,86,1.3629
genre,genre_comedy_horror,84,1.3312
genre,genre_dystopian_film,83,1.3154
genre,genre_coming_of_age_film,77,1.2203
genre,genre_children's_film,75,1.1886
genre,genre_Christmas_film,74,1.1727
genre,genre_pornographic_parody_film,69,1.0935
genre,genre_slasher_film,65,1.0301
genre,genre_black_comedy_film,63,0.9984
genre,genre_action_comedy_film,62,0.9826
genre,genre_sport_film,61,0.9667
has,has_financial_data,2223,35.2298
is,is_major_studio,1480,23.4548
is,is_adaptation,1320,20.9192
lang,lang_English,4223,66.9255
lang,lang_French,1027,16.2758
lang,lang_other_or_unknown,752,11.9176
lang,lang_Italian,324,5.1347
lang,lang_German,282,4.4691
lang,lang_Spanish,188,2.9794
lang,lang_Russian,78,1.2361
lang,lang_Arabic,65,1.0301
lang,lang_Japanese,41,0.6498
lang,lang_Portuguese,21,0.3328
lang,lang_Norwegian,19,0.3011
lang,lang_Swedish,19,0.3011
lang,lang_Polish,18,0.2853
lang,lang_Turkish,17,0.2694
lang,lang_Hebrew,17,0.2694
lang,lang_Mandarin,16,0.2536
lang,lang_Persian,16,0.2536
lang,lang_Ukrainian,16,0.2536
lang,lang_American_English,15,0.2377
lang,lang_Hindi,14,0.2219
lang,lang_Finnish,13,0.206
month,month_unknown,1629,25.8162
month,month_1,1245,19.7306
month,month_9,545,8.6371
month,month_5,420,6.6561
month,month_3,322,5.103
month,month_8,314,4.9762
month,month_10,308,4.8811
month,month_2,296,4.691
month,month_7,259,4.1046
month,month_4,255,4.0412
month,month_12,242,3.8352
month,month_11,238,3.7718
month,month_6,237,3.7559
target,target_oscar_nom,319,5.0555
